variable_estudio,categoria,total_entradas,total_abandonos,porcentaje_abandono
residencia_grupo,desconocido-gr04197,2,1,50.0000
residencia_grupo,desconocido-gr04198,2,1,50.0000
residencia_grupo,desconocido-gr04199,3,2,66.6667
residencia_grupo,desconocido-gr04200,4,0,0.0000
residencia_grupo,desconocido-gr04201,3,1,33.3333
residencia_grupo,desconocido-gr04202,2,0,0.0000
residencia_grupo,desconocido-gr04203,3,1,33.3333
residencia_grupo,desconocido-gr04204,3,0,0.0000
residencia_grupo,desconocido-gr04205,3,1,33.3333
residencia_grupo,desconocido-gr04206,1,0,0.0000
residencia_grupo,desconocido-gr04207,1,0,0.0000
residencia_grupo,desconocido-gr04208,1,0,0.0000
residencia_grupo,desconocido-gr04210,1,0,0.0000
residencia_grupo,desconocido-gr04211,3,2,66.6667
residencia_grupo,desconocido-gr04212,2,1,50.0000
residencia_grupo,desconocido-gr04213,1,0,0.0000
residencia_grupo,desconocido-gr04215,1,1,100.0000
residencia_grupo,desconocido-gr04217,2,0,0.0000
residencia_grupo,desconocido-gr04218,3,3,100.0000
residencia_grupo,desconocido-gr04219,1,0,0.0000
residencia_grupo,desconocido-gr04220,1,0,0.0000
residencia_grupo,desconocido-gr04221,1,1,100.0000
residencia_grupo,desconocido-gr04222,2,0,0.0000
residencia_grupo,desconocido-gr04225,4,1,25.0000
residencia_grupo,desconocido-gr04226,3,1,33.3333
residencia_grupo,desconocido-gr04230,3,1,33.3333
residencia_grupo,desconocido-gr04231,1,0,0.0000
residencia_grupo,desconocido-gr04232,3,1,33.3333
residencia_grupo,desconocido-gr04233,4,1,25.0000
residencia_grupo,desconocido-gr04234,3,2,66.6667
residencia_grupo,desconocido-gr04235,3,1,33.3333
residencia_grupo,desconocido-gr04236,3,2,66.6667
residencia_grupo,desconocido-gr04239,4,0,0.0000
residencia_grupo,desconocido-gr04240,1,0,0.0000
residencia_grupo,desconocido-gr04241,3,1,33.3333
residencia_grupo,desconocido-gr04242,1,1,100.0000
residencia_grupo,desconocido-gr04243,4,2,50.0000
residencia_grupo,desconocido-gr04244,1,1,100.0000
residencia_grupo,desconocido-gr04245,3,0,0.0000
residencia_grupo,desconocido-gr04246,4,1,25.0000
residencia_grupo,desconocido-gr04248,2,1,50.0000
residencia_grupo,desconocido-gr04253,3,0,0.0000
residencia_grupo,desconocido-gr04254,1,1,100.0000
residencia_grupo,desconocido-gr04256,3,0,0.0000
residencia_grupo,desconocido-gr04257,5,2,40.0000
residencia_grupo,desconocido-gr04258,3,1,33.3333
residencia_grupo,desconocido-gr04259,2,0,0.0000
residencia_grupo,desconocido-gr04260,4,0,0.0000
residencia_grupo,desconocido-gr04261,3,0,0.0000
residencia_grupo,desconocido-gr04262,1,0,0.0000
residencia_grupo,desconocido-gr04265,3,0,0.0000
residencia_grupo,desconocido-gr04266,1,1,100.0000
residencia_grupo,desconocido-gr04267,1,0,0.0000
residencia_grupo,desconocido-gr04268,1,0,0.0000
residencia_grupo,desconocido-gr04269,1,0,0.0000
residencia_grupo,desconocido-gr04270,1,1,100.0000
residencia_grupo,desconocido-gr04271,2,1,50.0000
residencia_grupo,desconocido-gr04272,2,0,0.0000
residencia_grupo,desconocido-gr04273,1,1,100.0000
residencia_grupo,desconocido-gr04274,3,0,0.0000
residencia_grupo,desconocido-gr04275,1,0,0.0000
residencia_grupo,desconocido-gr04276,1,0,0.0000
residencia_grupo,desconocido-gr04278,1,1,100.0000
residencia_grupo,desconocido-gr04280,2,0,0.0000
residencia_grupo,desconocido-gr04281,3,1,33.3333
residencia_grupo,desconocido-gr04282,4,0,0.0000
residencia_grupo,desconocido-gr04284,3,3,100.0000
residencia_grupo,desconocido-gr04285,1,0,0.0000
residencia_grupo,desconocido-gr04286,1,1,100.0000
residencia_grupo,desconocido-gr04287,3,1,33.3333
residencia_grupo,desconocido-gr04289,2,0,0.0000
residencia_grupo,desconocido-gr04291,4,3,75.0000
residencia_grupo,desconocido-gr04292,3,0,0.0000
residencia_grupo,desconocido-gr04293,3,0,0.0000
residencia_grupo,desconocido-gr04295,1,1,100.0000
residencia_grupo,desconocido-gr04297,2,0,0.0000
residencia_grupo,desconocido-gr04298,2,0,0.0000
residencia_grupo,desconocido-gr04299,2,1,50.0000
residencia_grupo,desconocido-gr04300,1,1,100.0000
residencia_grupo,desconocido-gr04301,1,1,100.0000
residencia_grupo,desconocido-gr04302,1,1,100.0000
residencia_grupo,desconocido-gr04303,3,0,0.0000
residencia_grupo,desconocido-gr04305,1,1,100.0000
residencia_grupo,desconocido-gr04306,4,0,0.0000
residencia_grupo,desconocido-gr04307,1,1,100.0000
residencia_grupo,desconocido-gr04311,4,0,0.0000
residencia_grupo,desconocido-gr04312,1,1,100.0000
residencia_grupo,desconocido-gr04313,1,1,100.0000
residencia_grupo,desconocido-gr04314,4,1,25.0000
residencia_grupo,desconocido-gr04315,1,1,100.0000
residencia_grupo,desconocido-gr04316,1,0,0.0000
residencia_grupo,desconocido-gr04317,1,1,100.0000
residencia_grupo,desconocido-gr04318,2,0,0.0000
residencia_grupo,desconocido-gr04319,1,1,100.0000
residencia_grupo,desconocido-gr04320,1,0,0.0000
residencia_grupo,desconocido-gr04321,1,1,100.0000
residencia_grupo,desconocido-gr04322,2,0,0.0000
residencia_grupo,desconocido-gr04323,2,1,50.0000
residencia_grupo,desconocido-gr04326,1,1,100.0000
residencia_grupo,desconocido-gr04328,5,1,20.0000
residencia_grupo,desconocido-gr04330,1,0,0.0000
residencia_grupo,desconocido-gr04333,3,1,33.3333
residencia_grupo,desconocido-gr04334,1,0,0.0000
residencia_grupo,desconocido-gr04335,2,1,50.0000
residencia_grupo,desconocido-gr04337,1,0,0.0000
residencia_grupo,desconocido-gr04339,2,1,50.0000
residencia_grupo,desconocido-gr04341,2,0,0.0000
residencia_grupo,desconocido-gr04342,5,2,40.0000
residencia_grupo,desconocido-gr04343,2,0,0.0000
residencia_grupo,desconocido-gr04344,4,0,0.0000
residencia_grupo,desconocido-gr04345,4,3,75.0000
residencia_grupo,desconocido-gr04348,1,1,100.0000
residencia_grupo,desconocido-gr04349,1,0,0.0000
residencia_grupo,desconocido-gr04350,4,1,25.0000
residencia_grupo,desconocido-gr04351,3,0,0.0000
residencia_grupo,desconocido-gr04353,1,1,100.0000
residencia_grupo,desconocido-gr04354,2,0,0.0000
residencia_grupo,desconocido-gr04355,3,0,0.0000
residencia_grupo,desconocido-gr04356,3,1,33.3333
residencia_grupo,desconocido-gr04358,3,1,33.3333
residencia_grupo,desconocido-gr04361,1,0,0.0000
residencia_grupo,desconocido-gr04362,1,0,0.0000
residencia_grupo,desconocido-gr04363,2,0,0.0000
residencia_grupo,desconocido-gr04364,2,1,50.0000
residencia_grupo,desconocido-gr04367,2,0,0.0000
residencia_grupo,desconocido-gr04370,1,1,100.0000
residencia_grupo,desconocido-gr04371,2,0,0.0000
residencia_grupo,desconocido-gr04372,2,0,0.0000
residencia_grupo,desconocido-gr04373,1,0,0.0000
residencia_grupo,desconocido-gr04374,5,0,0.0000
residencia_grupo,desconocido-gr04376,3,0,0.0000
residencia_grupo,desconocido-gr04377,1,0,0.0000
residencia_grupo,desconocido-gr04378,2,1,50.0000
residencia_grupo,desconocido-gr04380,1,1,100.0000
residencia_grupo,desconocido-gr04381,1,0,0.0000
residencia_grupo,desconocido-gr04382,3,0,0.0000
residencia_grupo,desconocido-gr04383,3,1,33.3333
residencia_grupo,desconocido-gr04384,1,1,100.0000
residencia_grupo,desconocido-gr04386,1,1,100.0000
residencia_grupo,desconocido-gr04387,1,1,100.0000
residencia_grupo,desconocido-gr04390,2,0,0.0000
residencia_grupo,desconocido-gr04391,1,0,0.0000
residencia_grupo,desconocido-gr04392,2,0,0.0000
residencia_grupo,desconocido-gr04393,1,1,100.0000
residencia_grupo,desconocido-gr04394,2,0,0.0000
residencia_grupo,desconocido-gr04395,2,0,0.0000
residencia_grupo,desconocido-gr04396,1,1,100.0000
residencia_grupo,desconocido-gr04398,4,0,0.0000
residencia_grupo,desconocido-gr04399,2,0,0.0000
residencia_grupo,desconocido-gr04400,4,0,0.0000
residencia_grupo,desconocido-gr04401,3,3,100.0000
residencia_grupo,desconocido-gr04402,1,1,100.0000
residencia_grupo,desconocido-gr04403,4,1,25.0000
residencia_grupo,desconocido-gr04407,2,0,0.0000
residencia_grupo,desconocido-gr04408,1,1,100.0000
residencia_grupo,desconocido-gr04409,2,0,0.0000
residencia_grupo,desconocido-gr04410,1,1,100.0000
residencia_grupo,desconocido-gr04411,2,1,50.0000
residencia_grupo,desconocido-gr04412,4,3,75.0000
residencia_grupo,desconocido-gr04413,3,0,0.0000
residencia_grupo,desconocido-gr04418,3,1,33.3333
residencia_grupo,desconocido-gr04419,1,0,0.0000
residencia_grupo,desconocido-gr04420,2,0,0.0000
residencia_grupo,desconocido-gr04421,1,1,100.0000
residencia_grupo,desconocido-gr04422,2,1,50.0000
residencia_grupo,desconocido-gr04423,2,1,50.0000
residencia_grupo,desconocido-gr04424,1,0,0.0000
residencia_grupo,desconocido-gr04425,4,0,0.0000
residencia_grupo,desconocido-gr04426,2,0,0.0000
residencia_grupo,desconocido-gr04427,3,0,0.0000
residencia_grupo,desconocido-gr04429,1,1,100.0000
residencia_grupo,desconocido-gr04431,2,0,0.0000
residencia_grupo,desconocido-gr04433,4,1,25.0000
residencia_grupo,desconocido-gr04434,1,0,0.0000
residencia_grupo,desconocido-gr04435,1,0,0.0000
residencia_grupo,desconocido-gr04437,1,1,100.0000
residencia_grupo,desconocido-gr04438,3,0,0.0000
residencia_grupo,desconocido-gr04439,2,0,0.0000
residencia_grupo,desconocido-gr04440,5,1,20.0000
residencia_grupo,desconocido-gr04441,1,0,0.0000
residencia_grupo,desconocido-gr04443,1,0,0.0000
residencia_grupo,desconocido-gr04445,5,1,20.0000
residencia_grupo,desconocido-gr04446,3,0,0.0000
residencia_grupo,desconocido-gr04447,2,1,50.0000
residencia_grupo,desconocido-gr04448,2,1,50.0000
residencia_grupo,desconocido-gr04449,1,0,0.0000
residencia_grupo,desconocido-gr04450,1,1,100.0000
residencia_grupo,desconocido-gr04451,2,0,0.0000
residencia_grupo,desconocido-gr04452,3,1,33.3333
residencia_grupo,desconocido-gr04453,4,0,0.0000
residencia_grupo,desconocido-gr04455,1,1,100.0000
residencia_grupo,desconocido-gr04456,2,1,50.0000
residencia_grupo,desconocido-gr04457,1,1,100.0000
residencia_grupo,desconocido-gr04460,2,0,0.0000
residencia_grupo,desconocido-gr04461,1,1,100.0000
residencia_grupo,desconocido-gr04463,4,0,0.0000
residencia_grupo,desconocido-gr04465,1,0,0.0000
residencia_grupo,desconocido-gr04467,2,0,0.0000
residencia_grupo,desconocido-gr04470,1,1,100.0000
residencia_grupo,desconocido-gr04471,2,0,0.0000
residencia_grupo,desconocido-gr04472,3,0,0.0000
residencia_grupo,desconocido-gr04473,2,1,50.0000
residencia_grupo,desconocido-gr04474,1,0,0.0000
residencia_grupo,desconocido-gr04475,2,2,100.0000
residencia_grupo,desconocido-gr04476,2,0,0.0000
residencia_grupo,desconocido-gr04477,3,1,33.3333
residencia_grupo,desconocido-gr04479,2,0,0.0000
residencia_grupo,desconocido-gr04482,2,1,50.0000
residencia_grupo,desconocido-gr04490,1,0,0.0000
residencia_grupo,desconocido-gr04492,2,0,0.0000
residencia_grupo,desconocido-gr04497,4,2,50.0000
residencia_grupo,desconocido-gr04498,3,3,100.0000
residencia_grupo,desconocido-gr04500,1,1,100.0000
residencia_grupo,desconocido-gr04501,4,1,25.0000
residencia_grupo,desconocido-gr04502,3,0,0.0000
residencia_grupo,desconocido-gr04503,4,0,0.0000
residencia_grupo,desconocido-gr04504,2,0,0.0000
residencia_grupo,desconocido-gr04505,4,1,25.0000
residencia_grupo,desconocido-gr04506,1,1,100.0000
residencia_grupo,desconocido-gr04508,5,1,20.0000
residencia_grupo,desconocido-gr04511,4,0,0.0000
residencia_grupo,desconocido-gr04513,1,1,100.0000
residencia_grupo,desconocido-gr04516,2,0,0.0000
residencia_grupo,desconocido-gr04517,1,0,0.0000
residencia_grupo,desconocido-gr04519,3,1,33.3333
residencia_grupo,desconocido-gr04521,2,1,50.0000
residencia_grupo,desconocido-gr04523,1,1,100.0000
residencia_grupo,desconocido-gr04524,1,0,0.0000
residencia_grupo,desconocido-gr04525,1,1,100.0000
residencia_grupo,desconocido-gr04526,2,0,0.0000
residencia_grupo,desconocido-gr04527,2,0,0.0000
residencia_grupo,desconocido-gr04531,3,0,0.0000
residencia_grupo,desconocido-gr04532,1,0,0.0000
residencia_grupo,desconocido-gr04535,2,0,0.0000
residencia_grupo,desconocido-gr04537,1,0,0.0000
residencia_grupo,desconocido-gr04540,1,0,0.0000
residencia_grupo,desconocido-gr04542,1,1,100.0000
residencia_grupo,desconocido-gr04543,1,1,100.0000
residencia_grupo,desconocido-gr04545,3,2,66.6667
residencia_grupo,desconocido-gr04547,1,1,100.0000
residencia_grupo,desconocido-gr04548,1,0,0.0000
residencia_grupo,desconocido-gr04550,4,2,50.0000
residencia_grupo,desconocido-gr04551,1,0,0.0000
residencia_grupo,desconocido-gr04552,1,1,100.0000
residencia_grupo,desconocido-gr04553,4,0,0.0000
residencia_grupo,desconocido-gr04554,1,1,100.0000
residencia_grupo,desconocido-gr04557,2,0,0.0000
residencia_grupo,desconocido-gr04558,1,1,100.0000
residencia_grupo,desconocido-gr04559,2,0,0.0000
residencia_grupo,desconocido-gr04560,3,0,0.0000
residencia_grupo,desconocido-gr04561,2,1,50.0000
residencia_grupo,desconocido-gr04562,3,1,33.3333
residencia_grupo,desconocido-gr04565,1,0,0.0000
residencia_grupo,desconocido-gr04566,2,2,100.0000
residencia_grupo,desconocido-gr04567,1,0,0.0000
residencia_grupo,desconocido-gr04570,3,0,0.0000
residencia_grupo,desconocido-gr04572,1,0,0.0000
residencia_grupo,desconocido-gr04574,1,1,100.0000
residencia_grupo,desconocido-gr04576,1,0,0.0000
residencia_grupo,desconocido-gr04577,1,1,100.0000
residencia_grupo,desconocido-gr04578,1,1,100.0000
residencia_grupo,desconocido-gr04579,2,0,0.0000
residencia_grupo,desconocido-gr04581,3,1,33.3333
residencia_grupo,desconocido-gr04583,1,1,100.0000
residencia_grupo,desconocido-gr04584,3,0,0.0000
residencia_grupo,desconocido-gr04585,1,1,100.0000
residencia_grupo,desconocido-gr04586,1,0,0.0000
residencia_grupo,desconocido-gr04588,3,0,0.0000
residencia_grupo,desconocido-gr04589,3,1,33.3333
residencia_grupo,desconocido-gr04590,1,0,0.0000
residencia_grupo,desconocido-gr04591,4,1,25.0000
residencia_grupo,desconocido-gr04594,5,3,60.0000
residencia_grupo,desconocido-gr04595,3,0,0.0000
residencia_grupo,desconocido-gr04596,2,0,0.0000
residencia_grupo,desconocido-gr04597,1,1,100.0000
residencia_grupo,desconocido-gr04598,2,2,100.0000
residencia_grupo,desconocido-gr04599,1,0,0.0000
residencia_grupo,desconocido-gr04600,1,0,0.0000
residencia_grupo,desconocido-gr04601,1,1,100.0000
residencia_grupo,desconocido-gr04602,4,2,50.0000
residencia_grupo,desconocido-gr04604,3,1,33.3333
residencia_grupo,desconocido-gr04605,2,0,0.0000
residencia_grupo,desconocido-gr04607,1,1,100.0000
residencia_grupo,desconocido-gr04609,2,0,0.0000
residencia_grupo,desconocido-gr04611,1,1,100.0000
residencia_grupo,desconocido-gr04612,1,0,0.0000
residencia_grupo,desconocido-gr04614,5,0,0.0000
residencia_grupo,desconocido-gr04616,4,1,25.0000
residencia_grupo,desconocido-gr04618,1,1,100.0000
residencia_grupo,desconocido-gr04619,2,1,50.0000
residencia_grupo,desconocido-gr04621,3,0,0.0000
residencia_grupo,desconocido-gr04622,1,0,0.0000
residencia_grupo,desconocido-gr04623,1,1,100.0000
residencia_grupo,desconocido-gr04625,1,0,0.0000
residencia_grupo,desconocido-gr04627,3,0,0.0000
residencia_grupo,desconocido-gr04628,3,0,0.0000
residencia_grupo,desconocido-gr04630,3,2,66.6667
residencia_grupo,desconocido-gr04632,1,1,100.0000
residencia_grupo,desconocido-gr04633,3,2,66.6667
residencia_grupo,desconocido-gr04634,3,1,33.3333
residencia_grupo,desconocido-gr04635,1,0,0.0000
residencia_grupo,desconocido-gr04636,3,0,0.0000
residencia_grupo,desconocido-gr04637,1,0,0.0000
residencia_grupo,desconocido-gr04638,1,0,0.0000
residencia_grupo,desconocido-gr04639,2,0,0.0000
residencia_grupo,desconocido-gr04640,1,1,100.0000
residencia_grupo,desconocido-gr04641,1,0,0.0000
residencia_grupo,desconocido-gr04643,1,1,100.0000
residencia_grupo,desconocido-gr04644,1,0,0.0000
residencia_grupo,desconocido-gr04645,1,1,100.0000
residencia_grupo,desconocido-gr04646,1,0,0.0000
residencia_grupo,desconocido-gr04647,1,0,0.0000
residencia_grupo,desconocido-gr04648,1,0,0.0000
residencia_grupo,desconocido-gr04649,2,0,0.0000
residencia_grupo,desconocido-gr04651,3,1,33.3333
residencia_grupo,desconocido-gr04653,1,0,0.0000
residencia_grupo,desconocido-gr04654,3,0,0.0000
residencia_grupo,desconocido-gr04658,4,0,0.0000
residencia_grupo,desconocido-gr04659,2,0,0.0000
residencia_grupo,desconocido-gr04661,1,1,100.0000
residencia_grupo,desconocido-gr04662,4,2,50.0000
residencia_grupo,desconocido-gr04663,1,0,0.0000
residencia_grupo,desconocido-gr04667,1,0,0.0000
residencia_grupo,desconocido-gr04668,1,0,0.0000
residencia_grupo,desconocido-gr04669,4,0,0.0000
residencia_grupo,desconocido-gr04670,3,2,66.6667
residencia_grupo,desconocido-gr04671,3,1,33.3333
residencia_grupo,desconocido-gr04672,2,1,50.0000
residencia_grupo,desconocido-gr04673,2,0,0.0000
residencia_grupo,desconocido-gr04674,4,0,0.0000
residencia_grupo,desconocido-gr04676,4,2,50.0000
residencia_grupo,desconocido-gr04677,3,0,0.0000
residencia_grupo,desconocido-gr04678,2,0,0.0000
residencia_grupo,desconocido-gr04679,2,0,0.0000
residencia_grupo,desconocido-gr04680,3,1,33.3333
residencia_grupo,desconocido-gr04681,3,0,0.0000
residencia_grupo,desconocido-gr04682,4,2,50.0000
residencia_grupo,desconocido-gr04683,5,0,0.0000
residencia_grupo,desconocido-gr04684,3,1,33.3333
residencia_grupo,desconocido-gr04686,1,0,0.0000
residencia_grupo,desconocido-gr04687,1,1,100.0000
residencia_grupo,desconocido-gr04689,1,1,100.0000
residencia_grupo,desconocido-gr04690,4,0,0.0000
residencia_grupo,desconocido-gr04694,1,1,100.0000
residencia_grupo,desconocido-gr04695,4,0,0.0000
residencia_grupo,desconocido-gr04697,2,0,0.0000
residencia_grupo,desconocido-gr04700,2,0,0.0000
residencia_grupo,desconocido-gr04701,1,0,0.0000
residencia_grupo,desconocido-gr04706,1,1,100.0000
residencia_grupo,desconocido-gr04708,1,1,100.0000
residencia_grupo,desconocido-gr04709,1,1,100.0000
residencia_grupo,desconocido-gr04711,3,1,33.3333
residencia_grupo,desconocido-gr04713,3,1,33.3333
residencia_grupo,desconocido-gr04714,4,0,0.0000
residencia_grupo,desconocido-gr04715,4,2,50.0000
residencia_grupo,desconocido-gr04716,1,0,0.0000
residencia_grupo,desconocido-gr04717,1,0,0.0000
residencia_grupo,desconocido-gr04718,4,1,25.0000
residencia_grupo,desconocido-gr04719,1,0,0.0000
residencia_grupo,desconocido-gr04720,5,0,0.0000
residencia_grupo,desconocido-gr04721,2,0,0.0000
residencia_grupo,desconocido-gr04722,1,1,100.0000
residencia_grupo,desconocido-gr04723,3,2,66.6667
residencia_grupo,desconocido-gr04726,1,0,0.0000
residencia_grupo,desconocido-gr04727,4,2,50.0000
residencia_grupo,desconocido-gr04730,2,0,0.0000
residencia_grupo,desconocido-gr04731,1,0,0.0000
residencia_grupo,desconocido-gr04732,1,0,0.0000
residencia_grupo,desconocido-gr04733,1,1,100.0000
residencia_grupo,desconocido-gr04734,1,1,100.0000
residencia_grupo,desconocido-gr04735,1,0,0.0000
residencia_grupo,desconocido-gr04737,1,0,0.0000
residencia_grupo,desconocido-gr04739,1,0,0.0000
residencia_grupo,desconocido-gr04740,2,0,0.0000
residencia_grupo,desconocido-gr04741,1,0,0.0000
residencia_grupo,desconocido-gr04743,1,0,0.0000
residencia_grupo,desconocido-gr04744,1,1,100.0000
residencia_grupo,desconocido-gr04746,2,0,0.0000
residencia_grupo,desconocido-gr04747,2,1,50.0000
residencia_grupo,desconocido-gr04748,3,0,0.0000
residencia_grupo,desconocido-gr04749,4,0,0.0000
residencia_grupo,desconocido-gr04750,3,1,33.3333
residencia_grupo,desconocido-gr04751,1,1,100.0000
residencia_grupo,desconocido-gr04752,1,1,100.0000
residencia_grupo,desconocido-gr04755,2,0,0.0000
residencia_grupo,desconocido-gr04756,1,0,0.0000
residencia_grupo,desconocido-gr04757,2,1,50.0000
residencia_grupo,desconocido-gr04758,1,0,0.0000
residencia_grupo,desconocido-gr04759,3,2,66.6667
residencia_grupo,desconocido-gr04761,2,0,0.0000
residencia_grupo,desconocido-gr04762,1,1,100.0000
residencia_grupo,desconocido-gr04763,1,0,0.0000
residencia_grupo,desconocido-gr04764,1,0,0.0000
residencia_grupo,desconocido-gr04765,2,0,0.0000
residencia_grupo,desconocido-gr04767,4,0,0.0000
residencia_grupo,desconocido-gr04769,2,1,50.0000
residencia_grupo,desconocido-gr04770,1,0,0.0000
residencia_grupo,desconocido-gr04772,1,1,100.0000
residencia_grupo,desconocido-gr04773,1,0,0.0000
residencia_grupo,desconocido-gr04775,4,0,0.0000
residencia_grupo,desconocido-gr04776,1,1,100.0000
residencia_grupo,desconocido-gr04777,1,1,100.0000
residencia_grupo,desconocido-gr04778,3,1,33.3333
residencia_grupo,desconocido-gr04779,1,1,100.0000
residencia_grupo,desconocido-gr04780,2,1,50.0000
residencia_grupo,desconocido-gr04783,3,2,66.6667
residencia_grupo,desconocido-gr04784,1,1,100.0000
residencia_grupo,desconocido-gr04786,1,0,0.0000
residencia_grupo,desconocido-gr04787,1,1,100.0000
residencia_grupo,desconocido-gr04789,2,1,50.0000
residencia_grupo,desconocido-gr04790,1,1,100.0000
residencia_grupo,desconocido-gr04791,2,1,50.0000
residencia_grupo,desconocido-gr04792,3,1,33.3333
residencia_grupo,desconocido-gr04793,1,0,0.0000
residencia_grupo,desconocido-gr04794,2,1,50.0000
residencia_grupo,desconocido-gr04795,5,1,20.0000
residencia_grupo,desconocido-gr04796,4,2,50.0000
residencia_grupo,desconocido-gr04797,2,0,0.0000
residencia_grupo,desconocido-gr04798,2,0,0.0000
residencia_grupo,desconocido-gr04799,1,1,100.0000
residencia_grupo,desconocido-gr04800,3,1,33.3333
residencia_grupo,desconocido-gr04801,3,1,33.3333
residencia_grupo,desconocido-gr04803,5,0,0.0000
residencia_grupo,desconocido-gr04804,1,0,0.0000
residencia_grupo,desconocido-gr04805,1,1,100.0000
residencia_grupo,desconocido-gr04807,2,0,0.0000
residencia_grupo,desconocido-gr04809,3,2,66.6667
residencia_grupo,desconocido-gr04810,3,1,33.3333
residencia_grupo,desconocido-gr04811,1,0,0.0000
residencia_grupo,desconocido-gr04812,3,1,33.3333
residencia_grupo,desconocido-gr04814,5,0,0.0000
residencia_grupo,desconocido-gr04815,2,0,0.0000
residencia_grupo,desconocido-gr04818,4,2,50.0000
residencia_grupo,desconocido-gr04820,1,1,100.0000
residencia_grupo,desconocido-gr04821,3,1,33.3333
residencia_grupo,desconocido-gr04822,1,0,0.0000
residencia_grupo,desconocido-gr04823,2,0,0.0000
residencia_grupo,desconocido-gr04824,4,0,0.0000
residencia_grupo,desconocido-gr04825,1,0,0.0000
residencia_grupo,desconocido-gr04829,2,1,50.0000
residencia_grupo,desconocido-gr04830,3,2,66.6667
residencia_grupo,desconocido-gr04831,2,1,50.0000
residencia_grupo,desconocido-gr04832,2,0,0.0000
residencia_grupo,desconocido-gr04833,1,0,0.0000
residencia_grupo,desconocido-gr04834,1,0,0.0000
residencia_grupo,desconocido-gr04835,3,1,33.3333
residencia_grupo,desconocido-gr04836,1,1,100.0000
residencia_grupo,desconocido-gr04837,2,0,0.0000
residencia_grupo,desconocido-gr04838,2,0,0.0000
residencia_grupo,desconocido-gr04839,1,0,0.0000
residencia_grupo,desconocido-gr04840,1,1,100.0000
residencia_grupo,desconocido-gr04841,1,0,0.0000
residencia_grupo,desconocido-gr04843,1,1,100.0000
residencia_grupo,desconocido-gr04845,3,0,0.0000
residencia_grupo,desconocido-gr04846,1,1,100.0000
residencia_grupo,desconocido-gr04848,1,1,100.0000
residencia_grupo,desconocido-gr04849,1,0,0.0000
residencia_grupo,desconocido-gr04850,1,1,100.0000
residencia_grupo,desconocido-gr04851,1,1,100.0000
residencia_grupo,desconocido-gr04853,1,1,100.0000
residencia_grupo,desconocido-gr04854,3,0,0.0000
residencia_grupo,desconocido-gr04855,1,0,0.0000
residencia_grupo,desconocido-gr04857,2,0,0.0000
residencia_grupo,desconocido-gr04858,5,2,40.0000
residencia_grupo,desconocido-gr04859,2,1,50.0000
residencia_grupo,desconocido-gr04860,5,0,0.0000
residencia_grupo,desconocido-gr04861,4,1,25.0000
residencia_grupo,desconocido-gr04864,3,0,0.0000
residencia_grupo,desconocido-gr04865,1,1,100.0000
residencia_grupo,desconocido-gr04868,1,1,100.0000
residencia_grupo,desconocido-gr04870,4,0,0.0000
residencia_grupo,desconocido-gr04871,1,0,0.0000
residencia_grupo,desconocido-gr04873,4,0,0.0000
residencia_grupo,desconocido-gr04874,2,1,50.0000
residencia_grupo,desconocido-gr04875,2,0,0.0000
residencia_grupo,desconocido-gr04876,1,1,100.0000
residencia_grupo,desconocido-gr04878,1,1,100.0000
residencia_grupo,desconocido-gr04879,4,1,25.0000
residencia_grupo,desconocido-gr04880,1,0,0.0000
residencia_grupo,desconocido-gr04881,2,0,0.0000
residencia_grupo,desconocido-gr04882,2,0,0.0000
residencia_grupo,desconocido-gr04883,5,1,20.0000
residencia_grupo,desconocido-gr04884,2,0,0.0000
residencia_grupo,desconocido-gr04886,2,0,0.0000
residencia_grupo,desconocido-gr04887,1,0,0.0000
residencia_grupo,desconocido-gr04888,2,0,0.0000
residencia_grupo,desconocido-gr04889,1,1,100.0000
residencia_grupo,desconocido-gr04890,4,2,50.0000
residencia_grupo,desconocido-gr04891,2,1,50.0000
residencia_grupo,desconocido-gr04892,1,1,100.0000
residencia_grupo,desconocido-gr04893,3,0,0.0000
residencia_grupo,desconocido-gr04894,2,1,50.0000
residencia_grupo,desconocido-gr04895,2,0,0.0000
residencia_grupo,desconocido-gr04896,3,1,33.3333
residencia_grupo,desconocido-gr04901,1,0,0.0000
residencia_grupo,desconocido-gr04902,1,0,0.0000
residencia_grupo,desconocido-gr04903,1,0,0.0000
residencia_grupo,desconocido-gr04904,5,2,40.0000
residencia_grupo,desconocido-gr04906,2,0,0.0000
residencia_grupo,desconocido-gr04907,4,2,50.0000
residencia_grupo,desconocido-gr04908,4,1,25.0000
residencia_grupo,desconocido-gr04909,1,0,0.0000
residencia_grupo,desconocido-gr04910,2,0,0.0000
residencia_grupo,desconocido-gr04912,2,0,0.0000
residencia_grupo,desconocido-gr04913,5,1,20.0000
residencia_grupo,desconocido-gr04914,3,2,66.6667
residencia_grupo,desconocido-gr04915,1,0,0.0000
residencia_grupo,desconocido-gr04919,2,0,0.0000
residencia_grupo,desconocido-gr04920,1,1,100.0000
residencia_grupo,desconocido-gr04923,4,1,25.0000
residencia_grupo,desconocido-gr04924,1,1,100.0000
residencia_grupo,desconocido-gr04925,2,0,0.0000
residencia_grupo,desconocido-gr04926,1,0,0.0000
residencia_grupo,desconocido-gr04927,2,0,0.0000
residencia_grupo,desconocido-gr04929,5,2,40.0000
residencia_grupo,desconocido-gr04930,2,1,50.0000
residencia_grupo,desconocido-gr04932,1,1,100.0000
